#buildingId(key)	heatingNeeds(Wh)	coolingNeeds(Wh)
4148(1013138):	1.07576e+08	-8.95411e+06
4171(1013063):	6.43238e+07	-5.93612e+06
4253(295081611):	1.87141e+07	-8.87175e+06
4261(295094775):	3.03842e+06	-294028
4303(1012975):	1.66356e+08	-9.01449e+06
4305(1012921):	7.34425e+07	-5.74978e+07
4308(1013254):	2.37731e+08	-8.28867e+06
4323(295010322):	7.07941e+07	-1.45808e+07
4328(1013123):	1.48249e+08	-2.9877e+06
4329(9006922):	1.69209e+08	-4.97698e+06
4331(1013074):	1.19716e+08	-9.92339e+06
4336(1013009):	1.6563e+08	-3.70614e+06
4343(1013158):	1.27616e+08	-6.50072e+06
4345(1013133):	8.36183e+07	-6.45503e+06
4346(1013199):	8.38727e+07	-7.90743e+06
4349(1013057):	5.50767e+07	-4.9816e+06
4350(295079723):	1.51823e+06	-203495
4381(295079710):	4.58432e+07	-2.80331e+06
4398(2038110):	9.45914e+07	-3.4107e+06
4402(1013026):	6.58279e+07	-8.24259e+06
4417(295079699):	8.10422e+07	-4.50682e+06
4612(1013069):	7.7281e+07	-9.40863e+06
4620(1012852):	7.35027e+07	-5.89201e+06
4783(295097740):	7.87352e+07	-826527
4793(1012898):	1.52463e+08	-1.44468e+07
4796(295096992):	6.14815e+07	-2.82053e+06
4799(295097163):	1.79756e+06	-36969.2
4822(1013153):	5.82894e+08	-1.42299e+07
4823(295040271):	1.28121e+08	-1.64425e+07
4824(295079722):	2.31409e+08	-3.2194e+06
4826(295081225):	3.60556e+08	-1.36677e+07
4827(2039329):	2.50097e+08	-1.77423e+07
4828(2038202):	2.96969e+08	-2.872e+07
4865(1013174):	4.04971e+07	-1.91926e+07
4867(1013186):	1.11365e+08	-2.21553e+07
4868(1012945):	4.64031e+07	-2.23253e+06
4875(1013277):	1.3352e+08	-3.00657e+06
4879(2037284):	1.11214e+08	-6.09072e+06
4881(1013120):	2.0835e+08	-6.26713e+06
4882(1013134):	1.45674e+08	-3.41972e+06
4885(1013102):	8.88542e+07	-1.51071e+07
4886(1013088):	7.38521e+07	-1.01169e+07
4887(1012957):	1.19467e+08	-7.23666e+06
4892(1013197):	9.45628e+07	-1.2254e+07
4895(2039265):	5.81758e+07	-3.84698e+06
4896(1012934):	7.71062e+07	-1.8491e+06
4897(1013261):	1.15224e+08	-8.47084e+06
4900(1013067):	8.27051e+07	-5.6823e+06
4913(1013014):	7.31186e+07	-1.44034e+06
4916(295080435):	4.31665e+07	-513952
4946(1013288):	9.36134e+07	-1.09892e+07
4947(1012990):	6.28143e+07	-9.54549e+06
4948(1013023):	8.39692e+07	-2.7886e+06
4949(1013206):	1.13252e+08	-2.95422e+06
4971(295163340):	4.0257e+06	-161325
5000(1013021):	1.45704e+08	-4.11482e+06
5085(295094636):	4.82176e+08	-1.16882e+07
5089(295096278):	1.04765e+06	-124896
5131(2039881):	1.52987e+08	-5.30775e+06
5153(295010320):	5.66433e+07	-1.81573e+06
5158(1013095):	1.28143e+08	-2.65059e+06
5167(295081220):	3.09431e+06	-204463
5171(1012949):	3.68787e+08	-1.84245e+07
5173(1013220):	1.07611e+08	-1.08323e+07
5174(295081265):	9.23095e+07	-4.43869e+06
5193(1013205):	7.20812e+07	-3.08034e+06
5195(1013075):	5.52171e+07	-1.87198e+06
5198(1013000):	7.21079e+07	-1.82291e+06
5245(1013160):	5.60728e+07	-1.26913e+07
5518(295081218):	4.67922e+07	-1.50995e+06
5521(1012986):	1.25462e+08	-6.71323e+06
5570(3131676):	1.25529e+08	-4.60486e+06
5735(1013081):	1.90692e+08	-6.98399e+06
5752(9082278):	5.1924e+08	-2.30162e+07
5755(1013271):	2.41213e+08	-4.09335e+06
5767(2038396):	2.16549e+08	-1.19247e+07
5769(2037962):	2.3065e+08	-7.51813e+06
5795(1012853):	7.2608e+07	-6.04876e+06
5809(1012927):	1.36689e+08	-2.22459e+07
5810(1012980):	1.41607e+08	-7.16748e+06
5811(1012930):	1.07033e+08	-1.95966e+07
5817(1012983):	9.82823e+07	-7.78336e+06
5818(1012860):	7.54215e+07	-2.13017e+06
5819(1013184):	1.02521e+08	-3.05312e+07
5820(1013001):	9.16263e+07	-1.43256e+07
5823(1012989):	6.42938e+07	-7.27425e+06
5827(1012963):	4.80639e+07	-9.03109e+06
5828(1013233):	8.16895e+07	-1.78243e+07
5834(1013289):	1.30712e+08	-2.18058e+06
5835(1012893):	6.21336e+07	-1.49724e+07
5837(2039251):	7.95581e+07	-1.09434e+06
5848(295094844):	2.19107e+07	-909303
5854(295096290):	1.33307e+06	-282617
5855(295095860):	654788	-120440
5859(1013018):	9.63025e+07	-3.89575e+06
5860(295101766):	1.02114e+07	-591490
5861(295087279):	1.67217e+07	-296784
5863(295087865):	1.7887e+07	-867297
5873(2037218):	2.01513e+07	-3.76449e+06
5883(295080436):	7.65244e+06	-110.499
5884(295101582):	8.42526e+06	-163807
5891(295096282):	1.08467e+06	-99081.8
5896(295102970):	6.76277e+07	-792394
5909(295116927):	3.93417e+07	-7.72278e+06
5925(295094777):	1.37203e+07	-103775
5928(295097560):	9.68303e+06	-191907
5998(1013043):	1.63974e+08	-2.26097e+07
6088(1013017):	1.18905e+08	-3.82056e+06
6096(295096277):	3.19673e+06	-964582
6124(295087679):	4.46638e+06	-64930.3
6130(2037891):	3.00547e+07	-1.28446e+06
6140(1012993):	9.16182e+07	-8.79046e+06
6141(1013164):	6.6093e+07	-1.56636e+07
6143(1013058):	4.9544e+07	-4.46701e+06
6152(1013268):	4.65348e+07	-2.26425e+06
6185(295096289):	1.40527e+07	-937076
6206(295131525):	1.37093e+08	-920761
6232(295172939):	1.73072e+08	-4.83805e+06
6654(295101567):	6.1448e+07	-636355
6659(1012940):	2.50392e+08	-7.9481e+06
6692(1013272):	1.80992e+08	-7.77498e+07
6693(295101746):	1.42433e+09	-4.32342e+07
6694(1013244):	1.16499e+08	-2.55914e+06
6729(295101757):	2.05158e+07	-1.11102e+06
6730(1012972):	7.57262e+07	-4.88757e+07
6743(2038226):	2.06515e+08	-9.90265e+06
6746(2038228):	1.73208e+08	-8.00212e+06
6747(2039259):	7.77115e+07	-2.32021e+06
6749(1013116):	1.69479e+08	-3.75054e+06
6754(1013162):	5.42677e+07	-1.35991e+07
6755(1013006):	8.30105e+07	-1.04133e+07
6756(1013089):	5.80879e+07	-1.57492e+07
6757(1012901):	8.40851e+07	-1.38828e+07
6758(1013078):	8.60659e+07	-2.26272e+06
6761(1012887):	8.24359e+07	-6.27281e+06
6762(1013171):	6.37456e+07	-1.10074e+07
6769(1012935):	7.57072e+07	-1.18977e+06
6771(1012926):	7.13486e+07	-3.93836e+06
6787(295101768):	2.0783e+07	-561685
6789(295094874):	2.04179e+07	-203134
6803(295081038):	921531	-85800.1
6807(295096734):	2.32489e+07	-2.46439e+06
6808(295102915):	704040	-57105.4
6811(295103581):	5.05107e+07	-922381
6812(1012954):	1.13096e+08	-4.93538e+06
6814(295076504):	1.56529e+07	-479850
6815(2038842):	3.19236e+07	-820181
6816(1012938):	9.91489e+07	-2.55418e+06
6825(295168134):	6.90948e+06	-296576
6829(295080445):	6.47891e+06	-216697
6841(1013105):	6.62848e+07	-3.786e+06
6867(2039726):	9.32593e+07	-1.63639e+06
7026(1012999):	2.43755e+08	-4.80044e+06
7047(1013076):	7.65846e+07	-1.09007e+06
7055(1013151):	4.93927e+07	-1.32748e+08
7056(1013182):	6.83464e+07	-5.31135e+07
7059(1013181):	9.56996e+07	-3.60654e+07
7060(1013040):	1.59971e+08	-6.52408e+06
7062(2037894):	4.06135e+08	-8.91179e+06
7076(1013072):	8.31569e+07	-1.16862e+07
7083(1013046):	8.06424e+07	-1.62978e+06
7084(1012933):	8.74659e+07	-2.27545e+06
7101(1012914):	6.02995e+07	-3.54753e+06
7119(1012996):	1.13735e+08	-1.67232e+06
7130(1012890):	7.60968e+07	-1.36163e+07
7136(1012884):	8.52173e+07	-8.39794e+06
7159(295164553):	3.10053e+08	-7.82519e+06
7323(1012964):	7.20303e+07	-1.00859e+07
7514(1012854):	3.53291e+07	-1.66202e+06
7542(295080528):	8.99453e+07	-2.23785e+06
7622(1012924):	1.48153e+08	-4.34484e+06
7623(1013222):	1.21002e+08	-5.27408e+07
7629(2037899):	3.19773e+08	-1.8718e+07
7672(1013176):	3.74543e+08	-1.31771e+07
7675(1013126):	1.33844e+08	-1.62606e+07
7677(1013183):	8.20222e+07	-3.27362e+07
7682(295087346):	1.40176e+07	-990806
7687(1013010):	1.49608e+08	-1.33738e+07
7692(1012946):	8.88715e+07	-4.09967e+06
7694(1012867):	8.15458e+07	-1.84653e+07
7695(1013212):	1.93163e+08	-9.33574e+06
7696(2038338):	7.37682e+07	-1.71804e+06
7699(2037884):	1.81266e+07	-847957
7700(2037888):	1.07865e+07	-1.53684e+06
7701(295094178):	8.79561e+08	-8.94825e+07
7702(295094208):	2.72493e+08	-1.63217e+07
7704(1013035):	1.21891e+08	-1.95836e+06
7705(1012877):	1.53765e+08	-1.59098e+07
7708(1013179):	1.20794e+08	-8.03473e+06
7709(1013168):	6.88461e+07	-1.30015e+07
7710(295080486):	5.21252e+07	-4.7351e+06
7715(1012997):	7.10382e+07	-1.06261e+07
7717(295080442):	3.45469e+07	-3.62988e+06
7719(1013104):	1.01132e+08	-2.08551e+06
7729(295096983):	5.51524e+07	-628256
7732(295101248):	1.08898e+07	-68299.5
7738(1012910):	5.94853e+07	-2.26336e+06
7750(295081421):	946978	-112352
7753(1013121):	1.50858e+08	-1.68394e+07
7755(1013031):	3.93117e+07	-1.43531e+06
7762(1013211):	9.07164e+07	-4.09346e+06
7764(295148913):	4.08479e+07	-541044
7765(1012968):	7.21258e+07	-2.0449e+06
7776(295101579):	6.12055e+06	-92369.5
7780(295094209):	6.82582e+06	-92896.3
7827(295510511):	3.19931e+06	-14103
7846(295511884):	157848	-30779.1
7913(1013039):	6.2702e+07	-5.66993e+06
7975(2037897):	2.04064e+08	-8.91014e+06
7976(2038845):	1.10572e+08	-2.96405e+07
7997(1013155):	4.56527e+07	-1.27268e+08
8001(2037886):	2.49576e+07	-1.21141e+06
8010(295080454):	2.10177e+08	-7.08309e+06
8019(1012882):	1.29634e+08	-1.65941e+06
8024(295099698):	1.29448e+06	-46520.5
8031(1013055):	8.61595e+07	-2.90585e+06
8044(295081240):	1.01901e+07	-412639
