EGID,heatingNeeds(Wh),coolingNeeds(Wh),GBAUP,GASTW,GAREA,GKLAS
2037885,24215900.0,-1169510.0,8014.0,1.0,321.0,1230.0
1012883,55203800.0,-11312700.0,8013.0,7.0,250.0,1122.0
295081609,177269000.0,-86476600.0,,,,
295087680,4334350.0,-69242.3,,,,
295097162,43825000.0,-316186.0,,,,
295103582,25483500.0,-1021420.0,,,,
295081242,5918720.0,-146496.0,,,,
1013071,148302000.0,-4468930.0,8013.0,7.0,294.0,1122.0
1012942,75114000.0,-6073810.0,8019.0,5.0,293.0,1122.0
1013276,128142000.0,-1761950.0,8017.0,8.0,290.0,1122.0
1013137,113848000.0,-3029050.0,8012.0,6.0,226.0,1122.0
1013226,99272100.0,-9048710.0,8011.0,6.0,247.0,1122.0
295140566,325327000.0,-11169500.0,,,,
2037881,529842000.0,-11179400.0,8011.0,3.0,1417.0,1261.0
1012948,223278000.0,-7543490.0,8015.0,9.0,550.0,1122.0
2036983,1822200000.0,-52324200.0,8015.0,2.0,4337.0,1263.0
1013012,112981000.0,-23781100.0,8011.0,8.0,343.0,1122.0
1013052,199845000.0,-4715410.0,8011.0,6.0,355.0,1122.0
2038198,131791000.0,-2688970.0,8014.0,6.0,339.0,1121.0
1013177,195219000.0,-6285390.0,8014.0,8.0,350.0,1122.0
1013201,72486600.0,-27270700.0,8013.0,8.0,276.0,1122.0
295097161,1283290.0,-23712.4,,,,
1013098,80743100.0,-2534450.0,8017.0,8.0,276.0,1122.0
295101805,15064600.0,-1335750.0,,,,
1012875,105892000.0,-2306790.0,8011.0,6.0,188.0,1122.0
1013083,77268600.0,-29186100.0,8012.0,9.0,260.0,1122.0
1012900,71203600.0,-20556400.0,8012.0,8.0,244.0,1122.0
1012857,49073600.0,-2571770.0,8015.0,4.0,193.0,1122.0
1013114,70762800.0,-8699210.0,8011.0,7.0,187.0,1122.0
1012967,56897900.0,-558325.0,8011.0,5.0,119.0,1230.0
2037120,44843500.0,-2166550.0,8014.0,5.0,108.0,1122.0
1013210,65991900.0,-4936850.0,8011.0,6.0,163.0,1122.0
1013143,100349000.0,-1679460.0,8011.0,6.0,178.0,1122.0
1013266,106497000.0,-2094990.0,8012.0,7.0,163.0,1122.0
295112641,106619000.0,-6810530.0,8021.0,8.0,264.0,1122.0
2038490,42246800.0,-1459230.0,8013.0,1.0,155.0,1272.0
2037077,13019400.0,-104224.0,8015.0,2.0,56.0,1220.0
295101786,9678580.0,-337394.0,,,,
295138605,12552800.0,-71853.7,,,,
295081203,3761610.0,-289155.0,,,,
1013279,173325000.0,-3631840.0,8017.0,8.0,472.0,1122.0
295081847,158481000.0,-3312400.0,8012.0,1.0,634.0,1252.0
2039731,344428000.0,-16815100.0,,,629.0,1261.0
2037441,29595000.0,-154604000.0,8018.0,10.0,633.0,1122.0
1013142,82182900.0,-6271350.0,8011.0,6.0,214.0,1122.0
1013166,48985500.0,-127207000.0,8014.0,13.0,325.0,1122.0
1013273,863567000.0,-54743900.0,8015.0,10.0,1721.0,1220.0
1013250,59647500.0,-9405950.0,8012.0,7.0,195.0,1122.0
1013235,55151700.0,-16961300.0,8013.0,8.0,194.0,1122.0
295094876,2275690.0,-32951.2,,,,
1013293,78486200.0,-3283340.0,8012.0,5.0,176.0,1122.0
1013145,71843500.0,-2768950.0,8011.0,5.0,140.0,1122.0
1013249,63417300.0,-1389950.0,8011.0,6.0,127.0,1122.0
1013213,125783000.0,-2779860.0,8011.0,6.0,208.0,1122.0
1012917,69379200.0,-9700890.0,8013.0,7.0,207.0,1122.0
1012873,63549300.0,-9903560.0,8011.0,7.0,221.0,1122.0
1013169,74884300.0,-12431200.0,8011.0,7.0,231.0,1122.0
1013136,109234000.0,-3610800.0,8011.0,7.0,226.0,1122.0
1013217,129647000.0,-3459690.0,8011.0,7.0,248.0,1122.0
2039529,99585200.0,-29656600.0,8012.0,8.0,363.0,1122.0
295127869,13792200.0,-463797.0,,,,
9006891,5339520000.0,-114305000.0,8018.0,7.0,10264.0,1263.0
295143991,115474000.0,-2869270.0,8015.0,7.0,352.0,1211.0
1012866,118018000.0,-17839700.0,8011.0,7.0,348.0,1122.0
295172941,226024000.0,-5759640.0,,,,
2039264,80255500.0,-4616700.0,8013.0,2.0,342.0,1251.0
2037817,75182700.0,-27919.9,8014.0,1.0,889.0,1242.0
295097773,350740000.0,-17582700.0,8012.0,4.0,840.0,1251.0
2037956,307119000.0,-7937880.0,8011.0,4.0,563.0,1261.0
295079724,22755700.0,-180682.0,8011.0,1.0,90.0,1265.0
2037443,144261000.0,-7015500.0,8018.0,9.0,521.0,1122.0
295080448,3533000.0,-415073.0,,,,
295101571,41503300.0,-88934.1,,,,
1013122,215786000.0,-5672460.0,8012.0,7.0,259.0,1122.0
1013147,108226000.0,-12729800.0,8013.0,7.0,267.0,1122.0
2037206,144969000.0,-4498060.0,8012.0,8.0,245.0,1122.0
1013178,100692000.0,-13536400.0,8012.0,7.0,246.0,1122.0
1013115,115204000.0,-7096410.0,8011.0,5.0,241.0,1122.0
1013294,68993200.0,-6852980.0,8011.0,6.0,219.0,1122.0
1013112,121319000.0,-2754980.0,8011.0,6.0,218.0,1122.0
1013011,84863300.0,-4313520.0,8011.0,5.0,215.0,1122.0
1012988,79308400.0,-6200980.0,8012.0,6.0,202.0,1122.0
295076509,7764020.0,-511898.0,,,,
1013029,47559300.0,-5774200.0,8011.0,6.0,115.0,1122.0
295129186,12434900.0,-5356.22,8021.0,1.0,89.0,1252.0
295075801,25373100.0,-509482.0,8011.0,4.0,87.0,1265.0
295094561,24120200.0,-2566980.0,,,,
1013274,75798200.0,-5308430.0,8012.0,5.0,170.0,1122.0
1013275,87139600.0,-1546170.0,8011.0,7.0,165.0,1122.0
1013022,87707400.0,-2253270.0,8011.0,6.0,164.0,1122.0
1013027,82318500.0,-2116200.0,8011.0,6.0,153.0,1122.0
295094778,2893880.0,-283628.0,,,,
1013236,93985200.0,-23331300.0,8013.0,8.0,272.0,1122.0
1013138,107576000.0,-8954110.0,8011.0,6.0,282.0,1122.0
1013063,64323800.0,-5936120.0,8013.0,5.0,301.0,1122.0
295081611,18714100.0,-8871750.0,8016.0,2.0,241.0,1251.0
295094775,3038420.0,-294028.0,8014.0,1.0,68.0,1251.0
1012975,166356000.0,-9014490.0,8011.0,5.0,464.0,1122.0
1012921,73442500.0,-57497800.0,8015.0,9.0,459.0,1122.0
1013254,237731000.0,-8288670.0,8015.0,10.0,598.0,1122.0
295010322,70794100.0,-14580800.0,8020.0,6.0,402.0,1122.0
1013123,148249000.0,-2987700.0,8012.0,7.0,256.0,1122.0
9006922,169209000.0,-4976980.0,8012.0,3.0,399.0,1220.0
1013074,119716000.0,-9923390.0,8011.0,6.0,332.0,1122.0
1013009,165630000.0,-3706140.0,8012.0,5.0,324.0,1130.0
1013158,127616000.0,-6500720.0,8014.0,7.0,250.0,1122.0
1013133,83618300.0,-6455030.0,8012.0,6.0,214.0,1122.0
1013199,83872700.0,-7907430.0,8013.0,6.0,210.0,1122.0
1013057,55076700.0,-4981600.0,8013.0,5.0,210.0,1122.0
295079723,1518230.0,-203495.0,,,,
295079710,45843200.0,-2803310.0,8013.0,3.0,207.0,1220.0
2038110,94591400.0,-3410700.0,8018.0,8.0,235.0,1122.0
1013026,65827900.0,-8242590.0,8013.0,6.0,247.0,1122.0
295079699,81042200.0,-4506820.0,8017.0,7.0,255.0,1220.0
1013069,77281000.0,-9408630.0,8013.0,6.0,255.0,1122.0
1012852,73502700.0,-5892010.0,8012.0,5.0,202.0,1122.0
295097740,78735200.0,-826527.0,8012.0,1.0,316.0,1251.0
1012898,152463000.0,-14446800.0,8016.0,8.0,422.0,1130.0
295096992,61481500.0,-2820530.0,,,,
295097163,1797560.0,-36969.2,,,,
1013153,582894000.0,-14229900.0,8014.0,2.0,2469.0,1274.0
295040271,128121000.0,-16442500.0,8020.0,4.0,567.0,1263.0
295079722,231409000.0,-3219400.0,8018.0,1.0,1106.0,1251.0
295081225,360556000.0,-13667700.0,,,,
2039329,250097000.0,-17742300.0,8015.0,9.0,517.0,1220.0
2038202,296969000.0,-28720000.0,8013.0,6.0,719.0,1251.0
1013174,40497100.0,-19192600.0,8014.0,8.0,248.0,1122.0
1013186,111365000.0,-22155300.0,8014.0,8.0,318.0,1122.0
1012945,46403100.0,-2232530.0,8019.0,5.0,203.0,1122.0
1013277,133520000.0,-3006570.0,8014.0,6.0,314.0,1122.0
2037284,111214000.0,-6090720.0,8013.0,7.0,303.0,1220.0
1013120,208350000.0,-6267130.0,8012.0,6.0,283.0,1122.0
1013134,145674000.0,-3419720.0,8011.0,6.0,273.0,1122.0
1013102,88854200.0,-15107100.0,8012.0,7.0,264.0,1122.0
1013088,73852100.0,-10116900.0,8012.0,7.0,242.0,1122.0
1012957,119467000.0,-7236660.0,8013.0,5.0,261.0,1122.0
1013197,94562800.0,-12254000.0,8011.0,7.0,216.0,1122.0
2039265,58175800.0,-3846980.0,8013.0,2.0,237.0,1251.0
1012934,77106200.0,-1849100.0,8016.0,7.0,238.0,1122.0
1013261,115224000.0,-8470840.0,8012.0,6.0,233.0,1122.0
1013067,82705100.0,-5682300.0,8012.0,6.0,200.0,1122.0
1013014,73118600.0,-1440340.0,8013.0,7.0,141.0,1122.0
295080435,43166500.0,-513952.0,,,,
1013288,93613400.0,-10989200.0,8011.0,5.0,165.0,1122.0
1012990,62814300.0,-9545490.0,8012.0,7.0,180.0,1122.0
1013023,83969200.0,-2788600.0,8011.0,6.0,158.0,1122.0
1013206,113252000.0,-2954220.0,8011.0,5.0,162.0,1122.0
295163340,4025700.0,-161325.0,,,,
1013021,145704000.0,-4114820.0,8012.0,4.0,337.0,1272.0
295094636,482176000.0,-11688200.0,8011.0,1.0,440.0,1272.0
295096278,1047650.0,-124896.0,,,,
2039881,152987000.0,-5307750.0,8014.0,2.0,471.0,1211.0
295010320,56643300.0,-1815730.0,8020.0,6.0,321.0,1122.0
1013095,128143000.0,-2650590.0,8017.0,8.0,374.0,1122.0
295081220,3094310.0,-204463.0,,,,
1012949,368787000.0,-18424500.0,8012.0,5.0,1205.0,1212.0
1013220,107611000.0,-10832300.0,8012.0,6.0,250.0,1122.0
295081265,92309500.0,-4438690.0,,,,
1013205,72081200.0,-3080340.0,8011.0,5.0,178.0,1122.0
1013075,55217100.0,-1871980.0,8011.0,5.0,139.0,1122.0
1013000,72107900.0,-1822910.0,8011.0,7.0,131.0,1211.0
1013160,56072800.0,-12691300.0,8014.0,7.0,247.0,1122.0
295081218,46792200.0,-1509950.0,8014.0,2.0,120.0,1263.0
1012986,125462000.0,-6713230.0,8012.0,6.0,248.0,1122.0
3131676,125529000.0,-4604860.0,8019.0,9.0,451.0,1122.0
1013081,190692000.0,-6983990.0,8013.0,8.0,411.0,1122.0
9082278,519240000.0,-23016200.0,,,922.0,1263.0
1013271,241213000.0,-4093350.0,8014.0,2.0,841.0,1272.0
2038396,216549000.0,-11924700.0,8014.0,8.0,511.0,1220.0
2037962,230650000.0,-7518130.0,8011.0,5.0,474.0,1220.0
1012853,72608000.0,-6048760.0,8011.0,5.0,201.0,1122.0
1012927,136689000.0,-22245900.0,8012.0,7.0,351.0,1122.0
1012980,141607000.0,-7167480.0,8013.0,7.0,355.0,1122.0
1012930,107033000.0,-19596600.0,8012.0,7.0,349.0,1122.0
1012983,98282300.0,-7783360.0,8011.0,6.0,275.0,1122.0
1012860,75421500.0,-2130170.0,8016.0,5.0,258.0,1122.0
1013184,102521000.0,-30531200.0,8013.0,9.0,272.0,1122.0
1013001,91626300.0,-14325600.0,8011.0,7.0,272.0,1122.0
1012989,64293800.0,-7274250.0,8011.0,6.0,199.0,1122.0
1012963,48063900.0,-9031090.0,8019.0,6.0,244.0,1122.0
1013233,81689500.0,-17824300.0,8013.0,7.0,241.0,1122.0
1013289,130712000.0,-2180580.0,8013.0,7.0,237.0,1122.0
1012893,62133600.0,-14972400.0,8013.0,7.0,235.0,1122.0
2039251,79558100.0,-1094340.0,8011.0,6.0,185.0,1211.0
295094844,21910700.0,-909303.0,,,,
295096290,1333070.0,-282617.0,,,,
295095860,654788.0,-120440.0,,,,
1013018,96302500.0,-3895750.0,8012.0,5.0,202.0,1122.0
295101766,10211400.0,-591490.0,8021.0,1.0,63.0,1130.0
295087279,16721700.0,-296784.0,,,,
295087865,17887000.0,-867297.0,,,,
2037218,20151300.0,-3764490.0,8017.0,4.0,92.0,1251.0
295080436,7652440.0,-110.499,,,,
295101582,8425260.0,-163807.0,,,,
295096282,1084670.0,-99081.8,,,,
295102970,67627700.0,-792394.0,8013.0,1.0,321.0,1261.0
295116927,39341700.0,-7722780.0,8012.0,6.0,179.0,1122.0
295094777,13720300.0,-103775.0,8012.0,1.0,56.0,1251.0
295097560,9683030.0,-191907.0,,,,
1013043,163974000.0,-22609700.0,8012.0,7.0,437.0,1122.0
1013017,118905000.0,-3820560.0,8011.0,7.0,205.0,1122.0
295096277,3196730.0,-964582.0,,,,
295087679,4466380.0,-64930.3,,,,
2037891,30054700.0,-1284460.0,8013.0,1.0,324.0,1230.0
1012993,91618200.0,-8790460.0,8012.0,6.0,253.0,1122.0
1013164,66093000.0,-15663600.0,8014.0,7.0,248.0,1122.0
1013058,49544000.0,-4467010.0,8013.0,5.0,211.0,1122.0
1013268,46534800.0,-2264250.0,8014.0,4.0,140.0,1122.0
295096289,14052700.0,-937076.0,,,,
295131525,137093000.0,-920761.0,8011.0,2.0,247.0,1110.0
295172939,173072000.0,-4838050.0,,,,
295101567,61448000.0,-636355.0,8014.0,1.0,440.0,1274.0
