timestamp,h_day,G_Dh_min,G_Dh_mean,G_Dh_var,G_Bn_min,G_Bn_mean,G_Bn_var,Ta_min,Ta_mean,Ta_var,FF_min,FF_mean,FF_var,DD_min,DD_mean,DD_var
2017-08-26,14.0,0.0,86.95833333333333,97.19209091398274,0.0,260.5416666666667,262.92584161395354,14.6,19.808333333333337,3.5703996447440445,0.3,2.05,1.0934588121703732,0.0,135.29166666666666,111.3851442622347
2017-08-27,14.0,0.0,105.29166666666667,120.88675230999453,0.0,193.875,217.19942999765064,15.9,21.766666666666666,4.327431878916949,2.6,4.741666666666666,1.182817809730008,5.0,135.95833333333334,114.18995583891235
2017-08-28,13.0,0.0,78.875,110.80979100516657,0.0,98.29166666666667,208.6491707370901,17.5,21.020833333333336,2.093879105904858,1.0,2.7708333333333335,1.5445497913537827,27.0,172.875,97.40918289896223
2017-08-29,14.0,0.0,118.83333333333333,142.84338236004484,0.0,103.375,153.24967196219944,14.9,18.945833333333333,2.8060461378131727,0.3,1.9833333333333334,1.1510549666422902,43.0,240.16666666666666,67.29019998850319
2017-08-30,13.0,0.0,97.95833333333333,125.2678796286848,0.0,13.291666666666666,31.56150540117511,18.0,20.5125,2.050516901958476,0.3,1.479166666666667,1.0155226397693247,9.0,193.625,117.25958290309879
2017-08-31,13.0,0.0,110.33333333333333,131.41393833382287,0.0,126.625,187.39050426037207,17.6,22.299999999999997,3.8267934130400802,0.2,5.158333333333334,3.395638720305884,110.0,259.75,49.770997316841495
2017-09-01,14.0,0.0,107.625,137.63272250576105,0.0,182.91666666666666,259.77497229695564,14.0,19.308333333333334,3.8002192919181206,0.7,1.9708333333333332,1.181921488846489,1.0,123.79166666666667,142.07774331304512
2017-09-02,13.0,0.0,88.16666666666667,109.90180069999512,0.0,232.95833333333334,278.3130047683514,12.5,19.808333333333337,5.216772004307601,0.8,2.166666666666667,0.8046963600539385,1.0,124.91666666666667,97.13142896484959
2017-09-03,14.0,0.0,114.04166666666667,139.3149323020287,0.0,166.33333333333334,206.23428354700127,14.2,20.395833333333332,4.116401886691049,0.0,0.19999999999999998,0.14142135623730953,0.0,200.875,149.77063986381773
2017-09-04,14.0,0.0,100.91666666666667,123.94245392139842,0.0,154.54166666666666,228.95205102087786,16.1,21.595833333333335,3.52524796126539,0.2,2.3833333333333333,1.9403421183471445,25.0,207.58333333333334,76.71795700835777
